Cidade;Homicidio Doloso;Latrocinio;Lesao Corporal seguida de Morte;Homicidio em decorrencia de ação da Policia Civil;Homicidio em decorrencia de acao da policia militar;Policial civil morto em servico;Policial Militar morto em servico;Estupro consumado;Estupro tentato;Homicidio doloso tentado;Lesao corporal Dolosa;Roubo contra mulher;Acidente de transito;Estelionato;Furto;Furto de veiculo;lesao corporal dolosa;Pessoa ferida por policial civil em servico;pessoa ferida por policial militar em servico;Porte ilegal de arma de fofo de uso permitido;Posse irregular de armaa de fogo de uso permitido;posse ou porte de drogas para uso pessoal;Receptacao;Roubo;Trafico de drogas;Apreensões de drogas;Apreensoes de armas;Prisoes;Lat;Long
Joinville;32;0;1;0;1;0;0;56;13;6;420;141;2812;363;2602;357;683;0;0;19;12;95;48;377;279;211.007;62;647;;
Jaragua do Sul;2;0;0;0;0;0;0;19;1;0;134;7;499;102;431;45;221;0;0;2;0;65;15;21;68;29.263;5;343;;
Sao Bento do Sul;3;0;0;0;0;0;0;15;0;1;48;4;156;30;146;5;93;0;0;1;0;34;9;12;2;0.341;4;93;;
Canoinhas;1;0;0;0;0;0;0;8;0;0;51;5;69;37;180;4;84;0;0;6;6;15;2;22;16;3.738;6;54;;
Mafra;2;0;0;0;1;0;0;7;0;0;36;6;57;31;167;7;85;0;0;2;1;8;1;16;7;0.077;14;109;;
São Francisco do Sul;5;0;0;0;0;0;0;6;0;0;43;3;146;46;269;20;79;0;0;3;2;22;8;23;44;9.1;8;54;;
Porto União;1;0;0;0;0;0;0;5;1;0;40;2;51;17;97;1;67;0;0;0;2;3;4;6;7;0.179;10;55;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28 colunas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
